playerName,playerID,position,team
Josh Allen,3918298,QB,BUF
Trevor Lawrence,4360310,QB,JAX
Drake Maye,4431452,QB,NE
Justin Herbert,4038941,QB,LAC
Bo Nix,4426338,QB,DEN
CJ Stroud,4432577,QB,HOU
Aaron Rodgers,8439,QB,PIT
Bryce Young,4685720,QB,CAR
Matthew Stafford,12483,QB,LAR
Jalen Hurts,4040715,QB,PHI
Jordan Love,4036378,QB,GB
Caleb Williams,4431611,QB,CHI
Brock Purdy,4361741,QB,SF
Sam Darnold,3912547,QB,SEA
Christian McCaffrey,3117251,RB,SF
Saquon Barkley,3929630,RB,PHI
Kyren Williams,4430737,RB,LAR
James Cook III,4379399,RB,BUF
Travis Etienne Jr.,4239996,RB,JAX
RJ Harvey,4568490,RB,DEN
TreVeyon Henderson,4432710,RB,NE
Kenneth Walker III,4567048,RB,SEA
Josh Jacobs,4047365,RB,GB
Rhamondre Stevenson,4569173,RB,NE
D'Andre Swift,4259545,RB,CHI
Blake Corum,4429096,RB,LAR
Zach Charbonnet,4426385,RB,SEA
Woody Marks,4429059,RB,HOU
Omarion Hampton,4685382,RB,LAC
Jaylen Warren,4569987,RB,PIT
Kenneth Gainwell,4371733,RB,PIT
Kyle Monangai,4608686,RB,CHI
Rico Dowdle,4038815,RB,CAR
Bhayshul Tuten,4882093,RB,JAX
Ty Johnson,3915411,RB,BUF
Chuba Hubbard,4241416,RB,CAR
Tank Bigsby,4429013,RB,PHI
Brian Robinson Jr.,4241474,RB,SF
Emanuel Wilson,4887558,RB,GB
Ray Davis,4429501,RB,BUF
Kimani Vidal,4430968,RB,LAC
Jaleel McLaughlin,4722893,RB,DEN
J.K. Dobbins,4241985,RB,DEN
Jawhar Jordan,4429939,RB,HOU
Nick Chubb,3128720,RB,HOU
Kyle Juszczyk,16002,RB,SF
Will Shipley,4431545,RB,PHI
Ronnie Rivers,4243003,RB,LAR
Tyler Badie,4362748,RB,DEN
Kaleb Johnson,4819231,RB,PIT
Chris Brooks,3149687,RB,GB
Dare Ogunbowale,2983509,RB,HOU
Isaac Guerendo,4372561,RB,SF
Jarquez Hunter,4710341,RB,LAR
Trevor Etienne,4685350,RB,CAR
Damien Martinez,4808830,RB,GB
Travis Homer,4037457,RB,CHI
